,,,source,author,title,description,url,urlToImage,publishedAt,content,category,country
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,Sona BLW Precision shares slip over 5% amid block deal buzz - The Economic Times,Shares of Sona BLW Precision Forgings (Sona Comstar) fell over 5% to Rs 505.2 in Wednesday's trade amid reports of a large block deal executed on the counter. The promoter Aureus Investment was likely to sell a 3.25% stake in Sona BLW Precision Forgings via aâ€¦,https://economictimes.indiatimes.com/markets/stocks/news/sona-blw-precision-shares-slip-over-5-amid-block-deal-buzz/articleshow/100642316.cms,"https://img.etimg.com/thumb/msid-100642307,width-1070,height-580,imgsize-1320125,overlay-etmarkets/photo.jpg",2023-05-31T06:51:55Z,"Shares of Sona BLW Precision Forgings (Sona Comstar) fell over 5% to Rs 505.2 in Wednesday's trade amid reports of a large block deal executed on the counter.According to reports, promoter Aureus Invâ€¦ [+1883 chars]",business,in
,,,"{'id': None, 'name': 'Hindustan Times'}",Bloomberg,"Musk 'overpaid', bought Twitter for $44bn. Now it is worth onlyâ€¦ - Hindustan Times","Musk has acknowledged he overpaid for Twitter, which he bought for $44 billion, including $33.5 billion in equity.",https://www.hindustantimes.com/business/twitter-is-now-worth-just-one-third-of-elon-musk-s-purchase-price-fidelity-101685514753679.html,https://www.hindustantimes.com/ht-img/img/2023/05/31/1600x900/MUSK-CHINA--3_1685516653224_1685516669879.JPG,2023-05-31T06:47:43Z,"Twitter is now worth just one-third of what Elon Musk paid for the social-media platform, according to Fidelity, which recently marked down the value of its equity stake in the company.
Elon Musk(REâ€¦ [+1473 chars]",business,in
,,,"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,ONGC leads losers' league on Nifty; brokerages maintain 'reduce' call - Moneycontrol,"The share touched a 52-week high of Rs 168.95 and a 52-week low of Rs 119.80 on 12 May, 2023 and 06 July, 2022, respectively.",https://www.moneycontrol.com/news/business/stocks/ongc-leads-losers-league-on-nifty-brokerages-maintain-reduce-call-10707981.html,https://images.moneycontrol.com/static-mcnews/2022/04/ONGC-770x433.jpg,2023-05-31T06:44:34Z,"Shares of state-run Oil and Natural Gas Corporation (ONGC) traded downÂ 2 percent intraday on May 31 and remained top losers on the Nifty50 index.
Broking house Nomura has kept 'reduce' rating on theâ€¦ [+2477 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Shivendra Kumar,"Momentum Pick: Will M&Mâ€™s outperformance over Nifty50, Nifty Auto continue? - The Economic Times","Mahindra & Mahindra (M&M) stock has outperformed both Nifty50 and Nifty Auto indices and recent momentum indicators suggest it's in an overbought zone. M&M stock could still see a 15-20% uptick aided by a supportive chart structure and good fundamentals, althâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/momentum-pick-will-mms-outperformance-over-nifty50-nifty-auto-continue/articleshow/100641728.cms,"https://img.etimg.com/thumb/msid-100641849,width-1070,height-580,imgsize-14782,overlay-etmarkets/photo.jpg",2023-05-31T06:36:46Z,Mahindra &amp; Mahindra (M&amp;M) stock has outperformed not just Nifty50 but also the sectoral index Nifty Auto and momentum indicators suggest that the stock is trading in an overbought zone. Will â€¦ [+3210 chars],business,in
,,,"{'id': None, 'name': 'Moneycontrol'}",Shivam Shukla,Tega Industries shares jumps 9% to 52-week high on solid Q4 numbers - Moneycontrol,"Tega Industries Ltd was listed on December 13, 2021 on BSE. Since listing the stock has given a return of 44.59 percent.",https://www.moneycontrol.com/news/business/markets/tega-industries-shares-jumps-9-to-52-week-high-on-solid-q4-numbers-10708871.html,https://images.moneycontrol.com/static-mcnews/2023/05/market_up_higher-3-770x433.jpg,2023-05-31T06:33:14Z,"Shares of Tega Industries Ltd rallied 9 percent in early trade today, hitting a fresh 52-week highs after solid Q4 numbers. At 11:23am, the stock was trading 8.61 percent higher at Rs 888.45 on the Nâ€¦ [+1144 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Subhrojit Mallick,Xiaomi partners with Dixon Technologies to make smartphones in India - Economic Times,The homegrown electronics manufacturer will also be exploring to set up a component ecosystem through its wholly owned subsidiaries to deepen the value chain of Xiaomi smartphones.,https://economictimes.indiatimes.com/industry/cons-products/electronics/xiaomi-partners-with-dixon-technologies-to-make-smartphones-in-india/articleshow/100641554.cms,"https://img.etimg.com/thumb/msid-100641528,width-1070,height-580,imgsize-66634,overlay-economictimes/photo.jpg",2023-05-31T06:24:00Z,,business,in
,,,"{'id': None, 'name': 'CarToq.com'}",Utkarsh Deshmukh,Honda Elevate: New spy shots leaked from Japan ahead of mid-sized SUVâ€™s official debut on June 6 - CarToq.com,"After spending several years on the sidelines, Honda Cars India, the Indian subsidiary of the Japanese automotive giant Honda Motor Co., is finally entering the highly competitive mid-size SUV segment. The company will take on this challenge with the all-new â€¦",https://www.cartoq.com/honda-elevate-new-spy-shots-leaked-from-japan-ahead-of-its-official-debut-on-june-6/,https://www.cartoq.com/wp-content/uploads/2023/05/Honda-Elevate-spy-shot-1.jpg,2023-05-31T06:22:50Z,"After spending several years on the sidelines, Honda Cars India, the Indian subsidiary of the Japanese automotive giant Honda Motor Co., is finally entering the highly competitive mid-size SUV segmenâ€¦ [+3568 chars]",business,in
,,,"{'id': None, 'name': 'Livemint'}",Ujjval Jauhari,"Apollo Hospitals eyes occupancy boost, gears up for expansion | Mint - Mint","There will be a higher focus on insurance penetration and engaging more with retail and corporates, Apollo said",https://www.livemint.com/companies/news/apollo-hospitals-eyes-occupancy-boost-gears-up-for-expansion-11685509941002.html,https://www.livemint.com/lm-img/img/2023/05/31/600x338/apollo_1685513472571.jpg,2023-05-31T06:14:20Z,"Apollo Hospitals Enterprises Ltd, one of India's largest healthcare providers, aims to increase average occupancy across its hospitals to 68-70% in FY24. On Tuesday, the company reported a 60% surge â€¦ [+3049 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Shivendra Kumar,Torrent Pharma shares jump 8% on strong Q4 earnings. How to trade stock now? - The Economic Times,"Torrent Pharmaceuticals' shares surged 8% after the company reported a profit of INR 287 crore ($38.4m) during Q4 FY22, compared to a net loss of INR 118 crore in the same period a year ago. The drug maker's revenue rose to INR 2,491 crore during the fourth qâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/torrent-pharma-shares-jump-8-on-strong-q4-earnings-how-to-trade-stock-now/articleshow/100640509.cms,"https://img.etimg.com/thumb/msid-100640599,width-1070,height-580,imgsize-12540,overlay-etmarkets/photo.jpg",2023-05-31T05:51:00Z,Shares of Torrent Pharmaceuticals jumped nearly 8% on the NSE on Wednesday after the company reported profits in the quarter ended March 31 versus a loss in the year-ago period. Following Q4 earningsâ€¦ [+2548 chars],business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,These bank stocks can give up to 38% returns - Economic Times,"For the purpose of this report, we have filtered out stocks wherein the count of analysts is up to 29 and upside potential is less than 38%.",https://economictimes.indiatimes.com/markets/stocks/news/these-bank-stocks-can-give-up-to-38-returns/articleshow/100640077.cms,"https://img.etimg.com/thumb/msid-100640102,width-1070,height-580/photo.jpg",2023-05-31T05:34:00Z,,business,in
